isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid,FF_12_consumer_combined,FF_12_consumer_combined_text
FR58584299022,2016,CAC20,"Porter, Hailee",CEO,1652217,16.2,24.6,NA,NA,153,NA,NA
FR58584299022,2015,CAC20,"Porter, Hailee",CEO,1978025,16.8,24.3,NA,NA,140,NA,NA
FR63376304081,2021,CAC20,"al-Shahidi, Badraan",Chairman-CEO,3961624,91,105,43000,38000,43928,12,Other
FR63376304081,2020,CAC20,"al-Shahidi, Badraan",Chairman-CEO,2126244,49,56,43000,38000,44136,12,Other
FR63376304081,2019,CAC20,"al-Shahidi, Badraan",Chairman-CEO,3427128,82,95,42000,36000,42995,12,Other
FR63376304081,2018,CAC20,"al-Shahidi, Badraan",Chairman-CEO,3832200,96,109,40000,35000,42597,12,Other
FR63376304081,2017,CAC20,"al-Shahidi, Badraan",Chairman-CEO,3651390,94,107,39000,34000,43000,12,Other
FR63376304081,2016,CAC20,"al-Shahidi, Badraan",Chairman-CEO,2204366,58,67,38000,33000,44669,12,Other
FR63376304081,2015,CAC20,"al-Shahidi, Badraan",Chairman-CEO,2331062,76,87,36000,31000,46121,12,Other
FR64430905540,2021,CAC20,"Avila, Corey",CEO,6496361,122.32,147.06,47908,39849,7045,NA,NA
FR64430905540,2020,CAC20,"Avila, Corey",CEO,3538746,80.63,98.17,47568,39069,6981,NA,NA
FR64430905540,2019,CAC20,"Avila, Corey",CEO,4136785,89.71,112.9,45927,36491,6686,NA,NA
FR64430905540,2018,CAC20,"Avila, Corey",CEO,4312849,92.76,115.54,45558,36575,6550,NA,NA
FR64430905540,2017,CAC20,"Avila, Corey",CEO,3795061,75.55,94.51,45022,35991,6658,NA,NA
FR64430905540,2016,CAC20,"Avila, Corey",CEO,3453175,83.72,105.25,44352,35281,6839,NA,NA
FR64430905540,2015,CAC20,"Avila, Corey",CEO,3704200,82.3,102.4,42624,34245,6781,NA,NA
FR67900788462,2021,CAC20,"al-Azizi, Shaahida",CEO,2127374,55,81,NA,NA,NA,10,Healthcare
FR67900788462,2020,CAC20,"al-Azizi, Shaahida",CEO,1978035,53,97,NA,NA,NA,10,Healthcare
FR67900788462,2019,CAC20,"al-Azizi, Shaahida",CEO,2277960,74,109,NA,NA,NA,10,Healthcare
FR67900788462,2018,CAC20,"al-Azizi, Shaahida",CEO,2430897,72,104,NA,NA,NA,10,Healthcare
FR67900788462,2017,CAC20,"al-Azizi, Shaahida",CEO,2198546,63,91,NA,NA,NA,10,Healthcare
FR67900788462,2016,CAC20,"al-Azizi, Shaahida",CEO,2057200,66,94,NA,NA,NA,10,Healthcare
FR67900788462,2015,CAC20,"al-Azizi, Shaahida",CEO,1227500,41,58,NA,NA,NA,10,Healthcare
FR69086704233,2021,CAC20,"al-Ashraf, Taalib",Chairman-CEO,4782529,42,61,NA,NA,NA,12,Other
FR69086704233,2020,CAC20,"al-Ashraf, Taalib",Chairman-CEO,3809226,40,61,NA,NA,NA,12,Other
FR69086704233,2019,CAC20,"al-Ashraf, Taalib",Chairman-CEO,4411720,44,67,NA,NA,NA,12,Other
FR69086704233,2018,CAC20,"al-Ashraf, Taalib",Chairman-CEO,4122802,41,56,NA,NA,NA,12,Other
FR69086704233,2017,CAC20,"al-Ashraf, Taalib",Chairman-CEO,3748644,34,45,NA,NA,NA,12,Other
FR69086704233,2016,CAC20,"al-Ashraf, Taalib",Chairman-CEO,2823161,43.3,59.3,NA,NA,NA,12,Other
FR69086704233,2015,CAC20,"al-Ashraf, Taalib",Chairman-CEO,3951339,43.7,59,NA,NA,NA,12,Other
FR79749161193,2021,CAC20,"Sanders, Savannah",CEO,1007832,16,22,120803,86548,1062,11,Finance
FR79749161193,2020,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,5152153,38,50,133500,101549,NA,11,Finance
FR79749161193,2019,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,6819006,47,66,145085,102583,NA,11,Finance
FR79749161193,2018,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,6521150,46,62,141608,103390,NA,11,Finance
FR79749161193,2017,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,6320020,48,67,139146,98616,NA,11,Finance
FR79749161193,2016,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,7959350,57,82,144111,100267,NA,11,Finance
FR79749161193,2015,CAC20,"al-Mostafa, Turfa",Chairman and Chief Executive Officer,6252500,41,59,142709,98840,NA,11,Finance
FR99839551262,2021,CAC20,"Lythgoe, Lucas",Chairman-CEO,5824020,3,3,NA,NA,NA,5,Chemicals
FR99839551262,2020,CAC20,"Lythgoe, Lucas",Chairman-CEO,3955067,49,58,NA,NA,NA,5,Chemicals
FR99839551262,2019,CAC20,"Lythgoe, Lucas",Chairman-CEO,4190220,54,64,NA,NA,NA,5,Chemicals
FR99839551262,2018,CAC20,"Lythgoe, Lucas",Chairman-CEO,2250000,56,66,NA,NA,NA,5,Chemicals
FR99839551262,2017,CAC20,"Lythgoe, Lucas",Chairman-CEO,2250000,54,64,NA,NA,NA,5,Chemicals
FR99839551262,2016,CAC20,"Lythgoe, Lucas",Chairman-CEO,2087500,45,53,NA,NA,NA,5,Chemicals
FR99839551262,2015,CAC20,"Lythgoe, Lucas",Chairman-CEO,1875000,34,40,NA,NA,NA,5,Chemicals
GB61596349233,2021,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2020,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2019,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2018,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2017,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2016,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
GB61596349233,2015,CAC20,"Cousar, Jaisean",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR12136161886,2021,CAC40,"Yuan, Kathryn",Chairman-CEO,5686841,54.6,79.2,NA,NA,2986,9,Shops
FR12136161886,2020,CAC40,"Yuan, Kathryn",Chairman-CEO,3320829,36.5,54.2,NA,NA,615,9,Shops
FR12136161886,2019,CAC40,"Yuan, Kathryn",Chairman-CEO,5368802,85.2,135.2,NA,NA,2986,9,Shops
FR12136161886,2018,CAC40,"Yuan, Kathryn",Chairman-CEO,12180916,96.2,168.9,NA,NA,615,9,Shops
FR12136161886,2017,CAC40,"Yuan, Kathryn",Chairman-CEO,5899403,43.3,78,NA,NA,615,9,Shops
FR12136161886,2016,CAC40,"Yuan, Kathryn",Chairman-CEO,3734348,35.5,57,NA,NA,NA,9,Shops
FR12136161886,2015,CAC40,"Yuan, Kathryn",Chairman-CEO,3558836,41.3,70.5,NA,NA,NA,9,Shops
FR17443118177,2021,CAC40,"Park, Myneshia",CEO,5006149,16,42,NA,NA,NA,12,Other
FR17443118177,2020,CAC40,"Brown, Ashley",Chairman-CEO,1904763,15,37,NA,NA,NA,12,Other
FR17443118177,2019,CAC40,"Brown, Ashley",Chairman-CEO,2517080,14,40,NA,NA,NA,12,Other
FR17443118177,2018,CAC40,"Brown, Ashley",Chairman-CEO,2653522,14,39,NA,NA,NA,12,Other
FR17443118177,2017,CAC40,"Brown, Ashley",Chairman-CEO,2693492,13,36,NA,NA,NA,12,Other
FR17443118177,2016,CAC40,"Brown, Ashley",Chairman-CEO,2401522,6,16,NA,NA,NA,12,Other
FR17443118177,2015,CAC40,"Brown, Ashley",Chairman-CEO,1023779,57,71,NA,NA,NA,12,Other
FR17973999320,2021,CAC40,"Hunt, Melanie",CEO,5343840,73.1,90.6,NA,NA,NA,6,Business Equipment
FR17973999320,2020,CAC40,"Hunt, Melanie",CEO,3072092,63.8,77.9,NA,NA,NA,6,Business Equipment
FR17973999320,2019,CAC40,"Garcia, Nadia",Chairman-CEO,4839246,76.9,96.4,55200,NA,NA,6,Business Equipment
FR17973999320,2018,CAC40,"Garcia, Nadia",Chairman-CEO,2248954,74.4,92.5,53700,NA,NA,6,Business Equipment
FR17973999320,2017,CAC40,"Garcia, Nadia",Chairman-CEO,2323342,80.5,100.6,53200,NA,NA,6,Business Equipment
FR17973999320,2016,CAC40,"Garcia, Nadia",Chairman-CEO,2212650,78.4,96.5,51800,NA,NA,6,Business Equipment
FR17973999320,2015,CAC40,"Garcia, Nadia",Chairman-CEO,2266678,84.9,104.9,50800,NA,NA,6,Business Equipment
FR18787963213,2021,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2020,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2019,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2018,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2017,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2016,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR18787963213,2015,CAC40,"Shumock, Tawnie",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR21092365046,2021,CAC40,"Avery, Kayla",Chairman-CEO,5497950,37.6,63.6,NA,NA,NA,12,Other
FR21092365046,2020,CAC40,"Avery, Kayla",Chairman-CEO,4226646,43.2,69.4,NA,NA,NA,12,Other
FR21092365046,2019,CAC40,"Avery, Kayla",Chairman-CEO,5384847,41.3,73.8,NA,NA,NA,12,Other
FR21092365046,2018,CAC40,"Avery, Kayla",Chairman-CEO,4887922,NA,NA,NA,NA,NA,12,Other
FR21092365046,2017,CAC40,"Avery, Kayla",Chairman-CEO,4228823,NA,NA,NA,NA,NA,12,Other
FR21092365046,2016,CAC40,"Avery, Kayla",Chairman-CEO,3814311,NA,NA,NA,NA,NA,12,Other
FR21092365046,2015,CAC40,"Avery, Kayla",Chairman-CEO,3420103,NA,NA,NA,NA,NA,12,Other
FR21344694383,2021,CAC40,"Zartman, Cheyenne",CEO,8654780,77,110,100694,70729,9183,5,Chemicals
FR21344694383,2020,CAC40,"el-Jaffer, Israa",Chairman-CEO,3059831,42,61,104896,72216,9183,5,Chemicals
FR21344694383,2019,CAC40,"el-Jaffer, Israa",Chairman-CEO,9798831,96,141,100959,68709,9183,5,Chemicals
FR21344694383,2018,CAC40,"el-Jaffer, Israa",Chairman-CEO,9531098,100,144,95207,66167,9183,5,Chemicals
FR21344694383,2017,CAC40,"el-Jaffer, Israa",Chairman-CEO,9579532,103,149,92745,64148,9183,5,Chemicals
FR21344694383,2016,CAC40,"el-Jaffer, Israa",Chairman-CEO,9130340,98,142,90618,63013,8880,5,Chemicals
FR21344694383,2015,CAC40,"el-Jaffer, Israa",Chairman-CEO,9149680,101,146,89928,62430,7758,5,Chemicals
FR28807813122,2021,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,6027111,72.87,97.81,NA,NA,NA,1,Consumer
FR28807813122,2020,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,4876955,42.24,57.58,NA,NA,NA,1,Consumer
FR28807813122,2019,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,3338865,63.71,89.86,NA,NA,NA,1,Consumer
FR28807813122,2018,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,4766477,64.49,83.15,NA,NA,NA,1,Consumer
FR28807813122,2017,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,4134613,54.15,70.25,NA,NA,NA,1,Consumer
FR28807813122,2016,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,3617199,48.09,85.98,NA,NA,NA,1,Consumer
FR28807813122,2015,CAC40,"el-Hana, Shafeeqa",Chairman-CEO,2758967,22.39,41.58,NA,NA,NA,1,Consumer
FR40403446536,2021,CAC40,"Yang, Vidath",Managing Chairman - General Partner,2987092,42.9,55.9,NA,NA,NA,NA,NA
FR40403446536,2020,CAC40,"Yang, Vidath",Managing Chairman - General Partner,2162840,47.1,61,NA,NA,NA,NA,NA
FR40403446536,2019,CAC40,"Yang, Vidath",Managing Chairman - General Partner,3389309.02,77.6,99.8,NA,NA,NA,NA,NA
FR40403446536,2018,CAC40,"Yang, Vidath",Managing Chairman - General Partner,1228544,73.8,94.8,NA,NA,NA,NA,NA
FR40403446536,2017,CAC40,"Yang, Vidath",Managing Chairman - General Partner,3799658,65.2,84.7,NA,NA,NA,NA,NA
FR40403446536,2016,CAC40,"Yang, Vidath",Managing Chairman - General Partner,3303789,49.3,63.4,NA,NA,NA,NA,NA
FR40403446536,2015,CAC40,"Yang, Vidath",Managing Chairman - General Partner,2383869,NA,NA,NA,NA,NA,NA,NA
FR42378421134,2021,CAC40,"Vallejo-Moore, Eva",CEO,3748916,13.6,30.7,NA,NA,NA,6,Business Equipment
FR42378421134,2020,CAC40,"Vallejo-Moore, Eva",CEO,1740822,12.7,25.5,NA,NA,NA,6,Business Equipment
FR42378421134,2019,CAC40,"Vallejo-Moore, Eva",CEO,2754258,15.9,30.8,NA,NA,NA,6,Business Equipment
FR42378421134,2018,CAC40,"Vallejo-Moore, Eva",CEO,2389490,11,29.1,NA,NA,NA,6,Business Equipment
FR42378421134,2017,CAC40,"Tolbert, Tamar",Chairman-CEO,1828381,8.4,21.8,NA,NA,NA,6,Business Equipment
FR42378421134,2016,CAC40,"Tolbert, Tamar",Chairman-CEO,1819391,9,22.8,NA,NA,NA,6,Business Equipment
FR42378421134,2015,CAC40,"Tolbert, Tamar",Chairman-CEO,1800910,36.9,45.4,48863,NA,NA,6,Business Equipment
FR43461559915,2021,CAC40,"Gonzales, Alia",Chairman and Chief Executive Officer,407305.73,12,18,125716,83290,875,1,Consumer
FR43461559915,2020,CAC40,"Gonzales, Alia",Chairman and Chief Executive Officer,3502069,27,45,141627,86006,875,1,Consumer
FR43461559915,2019,CAC40,"Gonzales, Alia",Chairman and Chief Executive Officer,4032802,35,57,132196,81009,875,1,Consumer
FR43461559915,2018,CAC40,"Gonzales, Alia",Chairman and Chief Executive Officer,4064482,36,62,131363,77080,875,1,Consumer
FR43461559915,2017,CAC40,"Roeske, Dallas",CEO,4217627,38,63,121765,74063,875,1,Consumer
FR43461559915,2016,CAC40,"Roeske, Dallas",CEO,4817290,36,59,117991,72172,779,1,Consumer
FR43461559915,2015,CAC40,"Roeske, Dallas",CEO,4858980,35,58,115463,NA,800,1,Consumer
FR52736654425,2021,CAC40,"Hines, De Vanta",Chairman-CEO,2003821,31.86,36.01,NA,NA,77377,7,Telecommunication
FR52736654425,2020,CAC40,"Hines, De Vanta",Chairman-CEO,1746471,31.4,35.5,NA,NA,77377,7,Telecommunication
FR52736654425,2019,CAC40,"Hines, De Vanta",Chairman-CEO,1889383,32.7,37,NA,NA,77377,7,Telecommunication
FR52736654425,2018,CAC40,"Hines, De Vanta",Chairman-CEO,2263637,33.8,38.6,NA,NA,77377,7,Telecommunication
FR52736654425,2017,CAC40,"Hines, De Vanta",Chairman-CEO,1744999,32.2,36.9,NA,NA,77377,7,Telecommunication
FR52736654425,2016,CAC40,"Hines, De Vanta",Chairman-CEO,1546267,32.4,37.4,NA,NA,70513,7,Telecommunication
FR52736654425,2015,CAC40,"Hines, De Vanta",Chairman-CEO,1445770,30.8,36,NA,NA,75341,7,Telecommunication
FR53328121956,2021,CAC40,"Truong, Sayfa",CEO,10982970,111.4,142.1,79590,NA,NA,10,Healthcare
FR53328121956,2020,CAC40,"Truong, Sayfa",CEO,11402092,110.6,142.8,80970,NA,NA,10,Healthcare
FR53328121956,2019,CAC40,"Truong, Sayfa",CEO,7072000,106.6,135.4,76930,NA,NA,10,Healthcare
FR53328121956,2018,CAC40,"Truong, Sayfa",CEO,7276022,93.8,120.3,76870,NA,NA,10,Healthcare
FR53328121956,2017,CAC40,"Truong, Sayfa",CEO,9754318,128.1,165,77400,NA,NA,10,Healthcare
FR53328121956,2016,CAC40,"Truong, Sayfa",CEO,9660113,102,131.2,75420,NA,NA,10,Healthcare
FR53328121956,2015,CAC40,"Truong, Sayfa",CEO,16760008,129.6,168.7,76590,NA,NA,10,Healthcare
FR57538796600,2021,CAC40,"Thomas, Mykecia",CEO,6946207,110,156,NA,NA,117000,3,Manufacturing
FR57538796600,2020,CAC40,"Thomas, Mykecia",CEO,5278851,60,73,92861,NA,4000,3,Manufacturing
FR57538796600,2019,CAC40,"Thomas, Mykecia",CEO,6504493,64,78,90369,NA,4000,3,Manufacturing
FR57538796600,2018,CAC40,"Thomas, Mykecia",CEO,6259898,68,84,91127,NA,4000,3,Manufacturing
FR57538796600,2017,CAC40,"Thomas, Mykecia",CEO,6607047,65,81,88551,NA,4000,3,Manufacturing
FR57538796600,2016,CAC40,"Thomas, Mykecia",CEO,5625458,57,71,83829,NA,4000,3,Manufacturing
FR57538796600,2015,CAC40,"Thomas, Mykecia",CEO,6144662,73,92,82791,NA,4200,3,Manufacturing
FR60090351295,2021,CAC40,"al-Badour, Taariq",Chairman-CEO,4510599,53,64,63075,53000,NA,3,Manufacturing
FR60090351295,2020,CAC40,"al-Badour, Taariq",Chairman-CEO,1607634,29,33,58990,51304,NA,3,Manufacturing
FR60090351295,2019,CAC40,"al-Badour, Taariq",Chairman-CEO,3377612,55,69,63271,50806,NA,3,Manufacturing
FR60090351295,2018,CAC40,"al-Badour, Taariq",Chairman-CEO,3106877,52,63,61269,50214,NA,3,Manufacturing
FR60090351295,2017,CAC40,"al-Badour, Taariq",Chairman-CEO,2870841,45,55,59529,48652,NA,3,Manufacturing
FR60090351295,2016,CAC40,"al-Badour, Taariq",Chairman-CEO,2541265,36,43,56851,47297,NA,3,Manufacturing
FR60090351295,2015,CAC40,"al-Badour, Taariq",Chairman-CEO,2160912,158,186,NA,NA,NA,3,Manufacturing
FR61958906359,2021,CAC40,"al-Vaziri, Rabi",CEO,3757418,45,63,82700,59200,NA,11,Finance
FR61958906359,2020,CAC40,"al-Vaziri, Rabi",CEO,2635856,35,47,76300,55700,NA,11,Finance
FR61958906359,2019,CAC40,"al-Vaziri, Rabi",CEO,3542299,47,65,76000,54400,NA,11,Finance
FR61958906359,2018,CAC40,"al-Vaziri, Rabi",CEO,3005562,42,59,75300,54400,NA,11,Finance
FR61958906359,2017,CAC40,"al-Vaziri, Rabi",CEO,3461645,47,66,74200,52300,NA,11,Finance
FR61958906359,2016,CAC40,"al-Vaziri, Rabi",CEO,3606187,49,71,73500,50500,NA,11,Finance
FR61958906359,2015,CAC40,"al-Vaziri, Rabi",CEO,3630625,NA,NA,NA,NA,NA,11,Finance
FR64689069227,2021,CAC40,"al-Siddiqui, Hibbaan",CEO,789955,26.9,33.2,NA,NA,7500,6,Business Equipment
FR64689069227,2020,CAC40,"al-Siddiqui, Hibbaan",CEO,2959611,42.3,54.7,NA,NA,8000,6,Business Equipment
FR64689069227,2019,CAC40,"Taylor, Ajahne",Chairman-CEO,1178440,20.4,29.2,149913,NA,8000,6,Business Equipment
FR64689069227,2018,CAC40,"Taylor, Ajahne",Chairman-CEO,2723321,19.5,29.1,157601,NA,800,6,Business Equipment
FR64689069227,2017,CAC40,"Taylor, Ajahne",Chairman-CEO,6122950,20.4,30.3,149569,NA,800,6,Business Equipment
FR64689069227,2016,CAC40,"Taylor, Ajahne",Chairman-CEO,5470174,35.8,50.6,144319,NA,800,6,Business Equipment
FR64689069227,2015,CAC40,"Taylor, Ajahne",Chairman-CEO,4941815,33.5,48.5,144816,NA,800,6,Business Equipment
FR67510201309,2021,CAC40,"Debramaletta, Shawn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR67510201309,2020,CAC40,"Debramaletta, Shawn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR67510201309,2019,CAC40,"Milne, Ian",Chairman of the Managing Board,7602848,136,174,46200,36100,NA,NA,NA
FR67510201309,2018,CAC40,"Milne, Ian",Chairman of the Managing Board,7639632,144,184,43900,34400,NA,NA,NA
FR67510201309,2017,CAC40,"Milne, Ian",Chairman of the Managing Board,6707334,126,159,42300,33500,NA,NA,NA
FR67510201309,2016,CAC40,"Milne, Ian",Chairman of the Managing Board,4706380,113,141,40800,32700,NA,NA,NA
FR67510201309,2015,CAC40,"Milne, Ian",Chairman of the Managing Board,5245284,125,156,39400,31600,NA,NA,NA
FR67650062520,2021,CAC40,"al-Selim, Mamoon",Chairman-CEO,5944129,48,59,NA,NA,5083,4,Energy
FR67650062520,2020,CAC40,"al-Selim, Mamoon",Chairman-CEO,3918263,39,48,NA,NA,5083,4,Energy
FR67650062520,2019,CAC40,"al-Selim, Mamoon",Chairman-CEO,6156261,58,77,NA,NA,14278,4,Energy
FR67650062520,2018,CAC40,"al-Selim, Mamoon",Chairman-CEO,5802972,66,87,NA,NA,14278,4,Energy
FR67650062520,2017,CAC40,"al-Selim, Mamoon",Chairman-CEO,6002476,60,80,NA,NA,14278,4,Energy
FR67650062520,2016,CAC40,"al-Selim, Mamoon",Chairman-CEO,5920545,54,72,NA,NA,15071,4,Energy
FR67650062520,2015,CAC40,"al-Selim, Mamoon",Chairman-CEO,4773750,NA,NA,NA,NA,NA,4,Energy
FR69681659997,2021,CAC40,"al-Farag, Jihaad",Chairman-CEO,7929234,0.56,2.17,NA,NA,NA,1,Consumer
FR69681659997,2020,CAC40,"al-Farag, Jihaad",Chairman-CEO,5518205,26.05,72.51,NA,NA,NA,1,Consumer
FR69681659997,2019,CAC40,"al-Farag, Jihaad",Chairman-CEO,NA,25.96,74.39,300000,NA,NA,1,Consumer
FR69681659997,2018,CAC40,"al-Farag, Jihaad",Chairman-CEO,NA,29.94,78.43,265000,NA,NA,1,Consumer
FR69681659997,2017,CAC40,"al-Farag, Jihaad",Chairman-CEO,NA,26.75,84.12,297000,NA,NA,1,Consumer
FR69681659997,2016,CAC40,"al-Farag, Jihaad",Chairman-CEO,NA,18.91,61.14,293000,NA,NA,1,Consumer
FR69681659997,2015,CAC40,"al-Farag, Jihaad",Chairman-CEO,NA,25.41,83.05,280000,NA,NA,1,Consumer
FR69811997355,2021,CAC40,"Miller, Tieler",CEO,6327500,81,109,76596,56645,3500,6,Business Equipment
FR69811997355,2020,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,1232748,NA,NA,NA,NA,NA,6,Business Equipment
FR69811997355,2019,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,1159500,NA,NA,NA,NA,NA,6,Business Equipment
FR69811997355,2018,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,2212856,NA,NA,NA,NA,NA,6,Business Equipment
FR69811997355,2017,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,2022033,NA,NA,NA,NA,NA,6,Business Equipment
FR69811997355,2016,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,1767514,NA,NA,NA,NA,NA,6,Business Equipment
FR69811997355,2015,CAC40,"Cruz, Alfredo",Chairman and Chief Executive Officer,2157801,NA,NA,NA,NA,NA,6,Business Equipment
FR70596810392,2021,CAC40,"el-Yousef, Mamdooh",CEO,3229827,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2020,CAC40,"el-Yousef, Mamdooh",CEO,3047827,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2019,CAC40,"el-Yousef, Mamdooh",CEO,2997373,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2018,CAC40,"el-Yousef, Mamdooh",CEO,2944726,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2017,CAC40,"el-Yousef, Mamdooh",CEO,2783284,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2016,CAC40,"el-Yousef, Mamdooh",CEO,2740626,NA,NA,NA,NA,NA,NA,NA
FR70596810392,2015,CAC40,"Alcon, Noah",NA,2887684,NA,NA,NA,NA,NA,NA,NA
FR72532427492,2021,CAC40,"Garlitos, Zachary",CEO,3220330,24.9,37.1,95151,63980,432,11,Finance
FR72532427492,2020,CAC40,"Garlitos, Zachary",CEO,3133584,38.9,59.5,104867,68484,432,11,Finance
FR72532427492,2019,CAC40,"Garlitos, Zachary",CEO,4541944,39.5,60.2,104409,68534,432,11,Finance
FR72532427492,2018,CAC40,"Garlitos, Zachary",CEO,4999784,41.1,63.7,101481,65431,432,11,Finance
FR72532427492,2017,CAC40,"Garlitos, Zachary",CEO,3438403,35.6,47.9,83578,62078,432,11,Finance
FR72532427492,2016,CAC40,"Garlitos, Zachary",CEO,3229362,33.8,47.4,85306,60773,467,11,Finance
FR72532427492,2015,CAC40,"Garlitos, Zachary",CEO,3094166,29.5,42.1,83417,58401,456,11,Finance
FR72544599713,2021,CAC40,"Carrera, Michelle",Chairman-CEO,3465122,53,61,NA,NA,NA,8,Utilities
FR72544599713,2020,CAC40,"Carrera, Michelle",Chairman-CEO,2819033,56,65,NA,NA,NA,8,Utilities
FR72544599713,2019,CAC40,"Carrera, Michelle",Chairman-CEO,3001105,57,66,NA,NA,NA,8,Utilities
FR72544599713,2018,CAC40,"Carrera, Michelle",Chairman-CEO,2944931,56,67,NA,NA,NA,8,Utilities
FR72544599713,2017,CAC40,"Carrera, Michelle",Chairman-CEO,3050895,50,59,NA,NA,NA,8,Utilities
FR72544599713,2016,CAC40,"Carrera, Michelle",Chairman-CEO,2397621,62,72,NA,NA,NA,8,Utilities
FR72544599713,2015,CAC40,"Carrera, Michelle",Chairman-CEO,3257631,58,67,NA,NA,NA,8,Utilities
FR79713639253,2021,CAC40,"Whiteskunk, Jerald",CEO,3182697,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2020,CAC40,"Whiteskunk, Jerald",CEO,3403423,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2019,CAC40,"Whiteskunk, Jerald",CEO,3403423,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2018,CAC40,"Whiteskunk, Jerald",CEO,3092816,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2017,CAC40,"Whiteskunk, Jerald",CEO,2774656,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2016,CAC40,"Whiteskunk, Jerald",CEO,2555753,NA,NA,NA,NA,NA,1,Consumer
FR79713639253,2015,CAC40,"Whiteskunk, Jerald",CEO,2268000,NA,NA,NA,NA,NA,1,Consumer
FR80038256491,2021,CAC40,"Battugs, Leilani",Chairman-CEO,4428822,47,80,NA,NA,NA,9,Shops
FR80038256491,2020,CAC40,"Battugs, Leilani",Chairman-CEO,3972572,42,76,NA,NA,NA,9,Shops
FR80038256491,2019,CAC40,"Battugs, Leilani",Chairman-CEO,7305055,42,72,NA,NA,NA,9,Shops
FR80038256491,2018,CAC40,"Battugs, Leilani",Chairman-CEO,7305055,45,74,NA,NA,NA,9,Shops
FR80038256491,2017,CAC40,"Battugs, Leilani",Chairman-CEO,5747662,47,79,NA,NA,NA,9,Shops
FR80038256491,2016,CAC40,"Battugs, Leilani",Chairman-CEO,6641976,46,78,NA,NA,NA,9,Shops
FR80038256491,2015,CAC40,"Battugs, Leilani",Chairman-CEO,7057643,54,79,NA,NA,NA,9,Shops
FR82593674992,2021,CAC40,"Mcguffey, Amanda",CEO,3521110,NA,NA,77142,66967,NA,8,Utilities
FR82593674992,2020,CAC40,"Mcguffey, Amanda",CEO,1753363,NA,NA,76791,72571,NA,8,Utilities
FR82593674992,2019,CAC40,"Mcguffey, Amanda",CEO,3023687,55.7,NA,46476,NA,NA,8,Utilities
FR82593674992,2018,CAC40,"Mcguffey, Amanda",CEO,2847812,55.1,NA,46307,NA,NA,8,Utilities
