isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid
FR62228130218,2015,CAC20,"el-Dada, Fawzia",Chairman-CEO,1263539,16,22,NA,NA,3000
FR64168950405,2021,CAC20,"Zamudio, Edgar",NA,NA,NA,NA,NA,NA,NA
FR64168950405,2020,CAC20,"Zamudio, Edgar",NA,NA,NA,NA,NA,NA,NA
FR64168950405,2019,CAC20,"Johnson, Basheer",CEO,1189214,NA,NA,NA,NA,NA
FR64168950405,2018,CAC20,"Johnson, Basheer",CEO,1177400,NA,NA,NA,NA,NA
FR64168950405,2017,CAC20,"Johnson, Basheer",CEO,1068400,NA,NA,NA,NA,NA
FR64168950405,2016,CAC20,"Johnson, Basheer",CEO,960400,NA,NA,NA,NA,NA
FR64168950405,2015,CAC20,"Zamudio, Edgar",NA,NA,NA,NA,NA,NA,NA
FR69879909630,2021,CAC20,"Chavez, Alejandro",CEO,1630000,20,32,84850,54115,NA
FR69879909630,2020,CAC20,"Chavez, Alejandro",CEO,1630000,20,32,88776,54012,NA
FR69879909630,2019,CAC20,"Chavez, Alejandro",CEO,1634000,24,35,77584,52903,NA
FR69879909630,2018,CAC20,"Chavez, Alejandro",CEO,2536000,20,30,73955,48894,NA
FR69879909630,2017,CAC20,"Chavez, Alejandro",CEO,1101000,7,10,72399,50253,NA
FR69879909630,2016,CAC20,"Chavez, Alejandro",CEO,2744000,12,17,68285,48065,NA
FR69879909630,2015,CAC20,"Chavez, Alejandro",CEO,1222000,11,16,64641,46366,NA
FR73805858483,2021,CAC20,"Ma, Tanay",CEO,3404682,79,103,33047,25192,27000
FR73805858483,2020,CAC20,"Ma, Tanay",CEO,688463,50,64,31556,24809,27000
FR73805858483,2019,CAC20,"Ma, Tanay",CEO,3643982,95,122,31714,24626,27000
FR73805858483,2018,CAC20,"Ma, Tanay",CEO,2399333,117,151,30848,24014,27000
FR73805858483,2017,CAC20,"Ma, Tanay",CEO,5284294,170,221,29782,22923,27000
FR73805858483,2016,CAC20,"Ma, Tanay",CEO,4068624,158,202,29704,23224,NA
FR73805858483,2015,CAC20,"Ma, Tanay",CEO,4836691,32,62,NA,NA,NA
FR77841983493,2021,CAC20,"Mock, John",CEO,945041,18,19,NA,NA,NA
FR77841983493,2020,CAC20,"Mock, John",CEO,459796,11,12,NA,NA,NA
FR77841983493,2019,CAC20,"Nguyen, Naweed",Chairman-CEO,2825950,57,64,NA,NA,NA
FR77841983493,2018,CAC20,"Nguyen, Naweed",Chairman-CEO,2487102,49,55,NA,NA,NA
FR77841983493,2017,CAC20,"Nguyen, Naweed",Chairman-CEO,2014594,42,47,NA,NA,NA
FR77841983493,2016,CAC20,"Nguyen, Naweed",Chairman-CEO,1751324,38,41,NA,NA,NA
FR77841983493,2015,CAC20,"Nguyen, Naweed",Chairman-CEO,1602560,37,39,NA,NA,NA
FR90709780281,2021,CAC20,"Child, Rhiannon",Chairman of the Executive Board,2394167,24.95,31.77,NA,NA,NA
FR90709780281,2020,CAC20,"Child, Rhiannon",Chairman of the Executive Board,1181857,21.24,29.38,NA,NA,NA
FR90709780281,2019,CAC20,"Child, Rhiannon",Chairman of the Executive Board,2429419,27.87,36.41,NA,NA,NA
FR90709780281,2018,CAC20,"Child, Rhiannon",Chairman of the Executive Board,2265989,25.48,32.8,NA,NA,NA
FR90709780281,2017,CAC20,"Child, Rhiannon",Chairman of the Executive Board,1813828,20.05,25.8,NA,NA,NA
FR90709780281,2016,CAC20,"Child, Rhiannon",Chairman of the Executive Board,1447482,19.09,25.04,NA,NA,NA
FR90709780281,2015,CAC20,"Child, Rhiannon",Chairman of the Executive Board,1391544,NA,NA,NA,NA,NA
FR93885148230,2021,CAC20,"Lee, Alec",Chairman-CEO,3961624,91,105,43000,38000,43928
FR93885148230,2020,CAC20,"Lee, Alec",Chairman-CEO,2126244,49,56,43000,38000,44136
FR93885148230,2019,CAC20,"Lee, Alec",Chairman-CEO,3427128,82,95,42000,36000,42995
FR93885148230,2018,CAC20,"Lee, Alec",Chairman-CEO,3832200,96,109,40000,35000,42597
FR93885148230,2017,CAC20,"Lee, Alec",Chairman-CEO,3651390,94,107,39000,34000,43000
FR93885148230,2016,CAC20,"Lee, Alec",Chairman-CEO,2204366,58,67,38000,33000,44669
FR93885148230,2015,CAC20,"Lee, Alec",Chairman-CEO,2331062,76,87,36000,31000,46121
FR98846998349,2021,CAC20,"Kelly, London",Chairman-CEO,453660,6.6,7.2,NA,NA,NA
FR98846998349,2020,CAC20,"Kelly, London",Chairman-CEO,453660,6.6,7.2,NA,NA,NA
FR98846998349,2019,CAC20,"Kelly, London",Chairman-CEO,453660,6.8,7.4,NA,NA,NA
FR98846998349,2018,CAC20,"Kelly, London",Chairman-CEO,452868,7.1,7.7,NA,NA,NA
FR98846998349,2017,CAC20,"Kelly, London",Chairman-CEO,452868,7.1,7.9,NA,NA,NA
FR98846998349,2016,CAC20,"Kelly, London",Chairman-CEO,452868,7.2,8,NA,NA,NA
FR98846998349,2015,CAC20,"Kelly, London",Chairman-CEO,452868,7.5,8.3,NA,NA,NA
GB70460274638,2021,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2020,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2019,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2018,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2017,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2016,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
GB70460274638,2015,CAC20,"Moore, Gabrielle",NA,NA,NA,NA,NA,NA,NA
FR11836707834,2021,CAC40,"Zito, Caitlin",Chairman-CEO,5944129,48,59,NA,NA,5083
FR11836707834,2020,CAC40,"Zito, Caitlin",Chairman-CEO,3918263,39,48,NA,NA,5083
FR11836707834,2019,CAC40,"Zito, Caitlin",Chairman-CEO,6156261,58,77,NA,NA,14278
FR11836707834,2018,CAC40,"Zito, Caitlin",Chairman-CEO,5802972,66,87,NA,NA,14278
FR11836707834,2017,CAC40,"Zito, Caitlin",Chairman-CEO,6002476,60,80,NA,NA,14278
FR11836707834,2016,CAC40,"Zito, Caitlin",Chairman-CEO,5920545,54,72,NA,NA,15071
FR11836707834,2015,CAC40,"Zito, Caitlin",Chairman-CEO,4773750,NA,NA,NA,NA,NA
FR12745862403,2021,CAC40,"Smith, Tyler",CEO,3220330,24.9,37.1,95151,63980,432
FR12745862403,2020,CAC40,"Smith, Tyler",CEO,3133584,38.9,59.5,104867,68484,432
FR12745862403,2019,CAC40,"Smith, Tyler",CEO,4541944,39.5,60.2,104409,68534,432
FR12745862403,2018,CAC40,"Smith, Tyler",CEO,4999784,41.1,63.7,101481,65431,432
FR12745862403,2017,CAC40,"Smith, Tyler",CEO,3438403,35.6,47.9,83578,62078,432
FR12745862403,2016,CAC40,"Smith, Tyler",CEO,3229362,33.8,47.4,85306,60773,467
FR12745862403,2015,CAC40,"Smith, Tyler",CEO,3094166,29.5,42.1,83417,58401,456
FR14206371941,2021,CAC40,"Ponce, Corie",CEO,5006149,16,42,NA,NA,NA
FR14206371941,2020,CAC40,"Nelson, Jeremy",Chairman-CEO,1904763,15,37,NA,NA,NA
FR14206371941,2019,CAC40,"Nelson, Jeremy",Chairman-CEO,2517080,14,40,NA,NA,NA
FR14206371941,2018,CAC40,"Nelson, Jeremy",Chairman-CEO,2653522,14,39,NA,NA,NA
FR14206371941,2017,CAC40,"Nelson, Jeremy",Chairman-CEO,2693492,13,36,NA,NA,NA
FR14206371941,2016,CAC40,"Nelson, Jeremy",Chairman-CEO,2401522,6,16,NA,NA,NA
FR14206371941,2015,CAC40,"Nelson, Jeremy",Chairman-CEO,1023779,57,71,NA,NA,NA
FR19120247231,2021,CAC40,"Amaya, Jesus",CEO,4110402,44,69,93000,59000,NA
FR19120247231,2020,CAC40,"Amaya, Jesus",CEO,3755804,43,66,88000,57000,NA
FR19120247231,2019,CAC40,"Amaya, Jesus",CEO,3858171,45,69,86000,56000,NA
FR19120247231,2018,CAC40,"Amaya, Jesus",CEO,3381320,41,62,82000,54000,NA
FR19120247231,2017,CAC40,"Amaya, Jesus",CEO,3686294,44,68,83000,54000,NA
FR19120247231,2016,CAC40,"Amaya, Jesus",CEO,4051799,49,75,83000,54000,NA
FR19120247231,2015,CAC40,"Amaya, Jesus",CEO,3591824,43,66,84000,55000,NA
FR19788315780,2021,CAC40,"Thirumalai, Ulysses",CEO,10982970,111.4,142.1,79590,NA,NA
FR19788315780,2020,CAC40,"Thirumalai, Ulysses",CEO,11402092,110.6,142.8,80970,NA,NA
FR19788315780,2019,CAC40,"Thirumalai, Ulysses",CEO,7072000,106.6,135.4,76930,NA,NA
FR19788315780,2018,CAC40,"Thirumalai, Ulysses",CEO,7276022,93.8,120.3,76870,NA,NA
FR19788315780,2017,CAC40,"Thirumalai, Ulysses",CEO,9754318,128.1,165,77400,NA,NA
FR19788315780,2016,CAC40,"Thirumalai, Ulysses",CEO,9660113,102,131.2,75420,NA,NA
FR19788315780,2015,CAC40,"Thirumalai, Ulysses",CEO,16760008,129.6,168.7,76590,NA,NA
FR19914029953,2021,CAC40,"Else, Chelsea",CEO,3757418,45,63,82700,59200,NA
FR19914029953,2020,CAC40,"Else, Chelsea",CEO,2635856,35,47,76300,55700,NA
FR19914029953,2019,CAC40,"Else, Chelsea",CEO,3542299,47,65,76000,54400,NA
FR19914029953,2018,CAC40,"Else, Chelsea",CEO,3005562,42,59,75300,54400,NA
FR19914029953,2017,CAC40,"Else, Chelsea",CEO,3461645,47,66,74200,52300,NA
FR19914029953,2016,CAC40,"Else, Chelsea",CEO,3606187,49,71,73500,50500,NA
FR19914029953,2015,CAC40,"Else, Chelsea",CEO,3630625,NA,NA,NA,NA,NA
FR22627556797,2021,CAC40,"al-Tahir, Kaazima",Chairman-CEO,3465122,53,61,NA,NA,NA
FR22627556797,2020,CAC40,"al-Tahir, Kaazima",Chairman-CEO,2819033,56,65,NA,NA,NA
FR22627556797,2019,CAC40,"al-Tahir, Kaazima",Chairman-CEO,3001105,57,66,NA,NA,NA
FR22627556797,2018,CAC40,"al-Tahir, Kaazima",Chairman-CEO,2944931,56,67,NA,NA,NA
FR22627556797,2017,CAC40,"al-Tahir, Kaazima",Chairman-CEO,3050895,50,59,NA,NA,NA
FR22627556797,2016,CAC40,"al-Tahir, Kaazima",Chairman-CEO,2397621,62,72,NA,NA,NA
FR22627556797,2015,CAC40,"al-Tahir, Kaazima",Chairman-CEO,3257631,58,67,NA,NA,NA
FR28640030282,2021,CAC40,"Hinton, Michael",CEO,5343840,73.1,90.6,NA,NA,NA
FR28640030282,2020,CAC40,"Hinton, Michael",CEO,3072092,63.8,77.9,NA,NA,NA
FR28640030282,2019,CAC40,"Cruz, Alejandro",Chairman-CEO,4839246,76.9,96.4,55200,NA,NA
FR28640030282,2018,CAC40,"Cruz, Alejandro",Chairman-CEO,2248954,74.4,92.5,53700,NA,NA
FR28640030282,2017,CAC40,"Cruz, Alejandro",Chairman-CEO,2323342,80.5,100.6,53200,NA,NA
FR28640030282,2016,CAC40,"Cruz, Alejandro",Chairman-CEO,2212650,78.4,96.5,51800,NA,NA
FR28640030282,2015,CAC40,"Cruz, Alejandro",Chairman-CEO,2266678,84.9,104.9,50800,NA,NA
FR30017261191,2021,CAC40,"Agenar, Kevin",Chairman-CEO,5779000,48,67,NA,NA,11500
FR30017261191,2020,CAC40,"Agenar, Kevin",Chairman-CEO,5045000,44,63,NA,NA,1000
FR30017261191,2019,CAC40,"Agenar, Kevin",Chairman-CEO,5649000,50,73,NA,NA,1000
FR30017261191,2018,CAC40,"Agenar, Kevin",Chairman-CEO,5591000,50,73,NA,NA,1000
FR30017261191,2017,CAC40,"Agenar, Kevin",Chairman-CEO,5336000,50,72,NA,NA,1000
FR30017261191,2016,CAC40,"Agenar, Kevin",Chairman-CEO,5832000,57,79,NA,NA,1000
FR30017261191,2015,CAC40,"Agenar, Kevin",Chairman-CEO,4585000,45,62,NA,NA,1000
FR30989607619,2021,CAC40,"Lara, Tiana",Chairman-CEO,6027111,72.87,97.81,NA,NA,NA
FR30989607619,2020,CAC40,"Lara, Tiana",Chairman-CEO,4876955,42.24,57.58,NA,NA,NA
FR30989607619,2019,CAC40,"Lara, Tiana",Chairman-CEO,3338865,63.71,89.86,NA,NA,NA
FR30989607619,2018,CAC40,"Lara, Tiana",Chairman-CEO,4766477,64.49,83.15,NA,NA,NA
FR30989607619,2017,CAC40,"Lara, Tiana",Chairman-CEO,4134613,54.15,70.25,NA,NA,NA
FR30989607619,2016,CAC40,"Lara, Tiana",Chairman-CEO,3617199,48.09,85.98,NA,NA,NA
FR30989607619,2015,CAC40,"Lara, Tiana",Chairman-CEO,2758967,22.39,41.58,NA,NA,NA
FR32036161362,2021,CAC40,"Hernandez, Gregory",CEO,3635361,107,130,NA,NA,NA
FR32036161362,2020,CAC40,"Aldridge, Lorelei",Chairman-CEO,4579187,22,42,NA,NA,NA
FR32036161362,2019,CAC40,"Aldridge, Lorelei",Chairman-CEO,4543570,23,42,NA,NA,NA
FR32036161362,2018,CAC40,"Aldridge, Lorelei",Chairman-CEO,3514426,84,NA,NA,NA,NA
FR32036161362,2017,CAC40,"Aldridge, Lorelei",Chairman-CEO,4594981,113,NA,NA,NA,NA
FR32036161362,2016,CAC40,"Aldridge, Lorelei",Chairman-CEO,4066631,24,44,NA,NA,NA
FR32036161362,2015,CAC40,"Aldridge, Lorelei",Chairman-CEO,3864119,24,46,NA,NA,NA
FR37417149597,2021,CAC40,"Shoeboot, Aubrey",CEO,2784064,23.2,31,NA,NA,1300
FR37417149597,2020,CAC40,"Shoeboot, Aubrey",CEO,1339666,32,36.4,NA,NA,35000
FR37417149597,2019,CAC40,"Shoeboot, Aubrey",CEO,2931204,47,53.2,NA,NA,35000
FR37417149597,2018,CAC40,"Shoeboot, Aubrey",CEO,2892341,45.4,51.4,NA,NA,35000
FR37417149597,2017,CAC40,"Shoeboot, Aubrey",CEO,2413073,38.6,44.1,NA,NA,35000
FR37417149597,2016,CAC40,"Shoeboot, Aubrey",CEO,2246791,36.2,41.3,NA,NA,34838
FR37417149597,2015,CAC40,"Shoeboot, Aubrey",CEO,1635679,35.8,41.8,NA,NA,34334
FR39774136243,2021,CAC40,"Sady, Matthew",Chairman-CEO,4510599,53,64,63075,53000,NA
FR39774136243,2020,CAC40,"Sady, Matthew",Chairman-CEO,1607634,29,33,58990,51304,NA
FR39774136243,2019,CAC40,"Sady, Matthew",Chairman-CEO,3377612,55,69,63271,50806,NA
FR39774136243,2018,CAC40,"Sady, Matthew",Chairman-CEO,3106877,52,63,61269,50214,NA
FR39774136243,2017,CAC40,"Sady, Matthew",Chairman-CEO,2870841,45,55,59529,48652,NA
FR39774136243,2016,CAC40,"Sady, Matthew",Chairman-CEO,2541265,36,43,56851,47297,NA
FR39774136243,2015,CAC40,"Sady, Matthew",Chairman-CEO,2160912,158,186,NA,NA,NA
FR39820034874,2021,CAC40,"Mosley, Angelo",CEO,3182697,NA,NA,NA,NA,NA
FR39820034874,2020,CAC40,"Mosley, Angelo",CEO,3403423,NA,NA,NA,NA,NA
FR39820034874,2019,CAC40,"Mosley, Angelo",CEO,3403423,NA,NA,NA,NA,NA
FR39820034874,2018,CAC40,"Mosley, Angelo",CEO,3092816,NA,NA,NA,NA,NA
FR39820034874,2017,CAC40,"Mosley, Angelo",CEO,2774656,NA,NA,NA,NA,NA
FR39820034874,2016,CAC40,"Mosley, Angelo",CEO,2555753,NA,NA,NA,NA,NA
FR39820034874,2015,CAC40,"Mosley, Angelo",CEO,2268000,NA,NA,NA,NA,NA
FR47100640290,2021,CAC40,"al-Aslam, Bassil",Chairman-CEO,7929234,0.56,2.17,NA,NA,NA
FR47100640290,2020,CAC40,"al-Aslam, Bassil",Chairman-CEO,5518205,26.05,72.51,NA,NA,NA
FR47100640290,2019,CAC40,"al-Aslam, Bassil",Chairman-CEO,NA,25.96,74.39,300000,NA,NA
FR47100640290,2018,CAC40,"al-Aslam, Bassil",Chairman-CEO,NA,29.94,78.43,265000,NA,NA
FR47100640290,2017,CAC40,"al-Aslam, Bassil",Chairman-CEO,NA,26.75,84.12,297000,NA,NA
FR47100640290,2016,CAC40,"al-Aslam, Bassil",Chairman-CEO,NA,18.91,61.14,293000,NA,NA
FR47100640290,2015,CAC40,"al-Aslam, Bassil",Chairman-CEO,NA,25.41,83.05,280000,NA,NA
FR49737722647,2021,CAC40,"Hernandez, Sonia",CEO,789955,26.9,33.2,NA,NA,7500
FR49737722647,2020,CAC40,"Hernandez, Sonia",CEO,2959611,42.3,54.7,NA,NA,8000
FR49737722647,2019,CAC40,"Sena, Dallas",Chairman-CEO,1178440,20.4,29.2,149913,NA,8000
FR49737722647,2018,CAC40,"Sena, Dallas",Chairman-CEO,2723321,19.5,29.1,157601,NA,800
FR49737722647,2017,CAC40,"Sena, Dallas",Chairman-CEO,6122950,20.4,30.3,149569,NA,800
FR49737722647,2016,CAC40,"Sena, Dallas",Chairman-CEO,5470174,35.8,50.6,144319,NA,800
FR49737722647,2015,CAC40,"Sena, Dallas",Chairman-CEO,4941815,33.5,48.5,144816,NA,800
FR56788346914,2021,CAC40,"Williams, Adam",Chairman-CEO,2386800,26,28,66728,NA,NA
FR56788346914,2020,CAC40,"Williams, Adam",Chairman-CEO,1640600,30,33,67222,NA,NA
FR56788346914,2019,CAC40,"Williams, Adam",Chairman-CEO,2389400,29,32,66104,NA,NA
FR56788346914,2018,CAC40,"Williams, Adam",Chairman-CEO,1901600,27,30,66225,NA,NA
FR56788346914,2017,CAC40,"Williams, Adam",Chairman-CEO,1954500,24,27,64527,NA,NA
FR56788346914,2016,CAC40,"Williams, Adam",Chairman-CEO,1090200,15,17,64090,NA,NA
FR56788346914,2015,CAC40,"Williams, Adam",Chairman-CEO,1014900,10,11,63165,NA,NA
FR56847276135,2021,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,2987092,42.9,55.9,NA,NA,NA
FR56847276135,2020,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,2162840,47.1,61,NA,NA,NA
FR56847276135,2019,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,3389309.02,77.6,99.8,NA,NA,NA
FR56847276135,2018,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,1228544,73.8,94.8,NA,NA,NA
FR56847276135,2017,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,3799658,65.2,84.7,NA,NA,NA
FR56847276135,2016,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,3303789,49.3,63.4,NA,NA,NA
FR56847276135,2015,CAC40,"al-Akhter, Yaasmeen",Managing Chairman - General Partner,2383869,NA,NA,NA,NA,NA
FR63447869503,2021,CAC40,"Yazzie, Joshua",Chairman and Chief Executive Officer,407305.73,12,18,125716,83290,875
FR63447869503,2020,CAC40,"Yazzie, Joshua",Chairman and Chief Executive Officer,3502069,27,45,141627,86006,875
FR63447869503,2019,CAC40,"Yazzie, Joshua",Chairman and Chief Executive Officer,4032802,35,57,132196,81009,875
FR63447869503,2018,CAC40,"Yazzie, Joshua",Chairman and Chief Executive Officer,4064482,36,62,131363,77080,875
FR63447869503,2017,CAC40,"Digesualdo, Shelby",CEO,4217627,38,63,121765,74063,875
FR63447869503,2016,CAC40,"Digesualdo, Shelby",CEO,4817290,36,59,117991,72172,779
FR63447869503,2015,CAC40,"Digesualdo, Shelby",CEO,4858980,35,58,115463,NA,800
FR65567819448,2021,CAC40,"Williams, Kimberly",CEO,2579418,38,50,68290,51965,NA
FR65567819448,2020,CAC40,"Williams, Kimberly",CEO,2456562,37,48,67015,51163,NA
FR65567819448,2019,CAC40,"Williams, Kimberly",CEO,NA,26,34,66714,50605,NA
FR65567819448,2018,CAC40,"Williams, Kimberly",CEO,2214767,34,45,64595,48985,NA
FR65567819448,2017,CAC40,"Williams, Kimberly",CEO,1109347,32,42,63064,47943,NA
FR65567819448,2016,CAC40,"Williams, Kimberly",CEO,1036944,NA,NA,NA,NA,NA
FR65567819448,2015,CAC40,"Williams, Kimberly",CEO,1066011,NA,NA,NA,NA,NA
FR65591515633,2021,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2020,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2019,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2018,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2017,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2016,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65591515633,2015,CAC40,"Garcia, Christian",NA,NA,NA,NA,NA,NA,NA
FR65700204861,2021,CAC40,"al-Fahs, Thanaa",CEO,6327500,81,109,76596,56645,3500
FR65700204861,2020,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,1232748,NA,NA,NA,NA,NA
FR65700204861,2019,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,1159500,NA,NA,NA,NA,NA
FR65700204861,2018,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,2212856,NA,NA,NA,NA,NA
FR65700204861,2017,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,2022033,NA,NA,NA,NA,NA
FR65700204861,2016,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,1767514,NA,NA,NA,NA,NA
FR65700204861,2015,CAC40,"Crews, Nina",Chairman and Chief Executive Officer,2157801,NA,NA,NA,NA,NA
FR66858162248,2021,CAC40,"el-Salaam, Abdul Kareem",Chairman-CEO,19599499,74.41,151.79,263400,129120,43
FR66858162248,2020,CAC40,"el-Salaam, Abdul Kareem",Chairman-CEO,17040193,81.88,118.82,208111,143413,40
FR66858162248,2019,CAC40,"el-Salaam, Abdul Kareem",Chairman-CEO,13226736,88.12,143.15,150106,92400,41
FR66858162248,2018,CAC40,"el-Salaam, Abdul Kareem",Chairman-CEO,4487593,54.98,75.17,81626,59700,47
FR66858162248,2017,CAC40,"Apodaca, Yesica",CEO,12226066,37.12,54.91,93366,63126,54
FR66858162248,2016,CAC40,"Apodaca, Yesica",CEO,17101074,74.32,218.44,230087,78287,53
FR66858162248,2015,CAC40,"Apodaca, Yesica",CEO,3616097,40.51,60.37,NA,NA,46
FR67460754911,2021,CAC40,"Salaz, Leon Hunter",Chairman-CEO,5497950,37.6,63.6,NA,NA,NA
FR67460754911,2020,CAC40,"Salaz, Leon Hunter",Chairman-CEO,4226646,43.2,69.4,NA,NA,NA
FR67460754911,2019,CAC40,"Salaz, Leon Hunter",Chairman-CEO,5384847,41.3,73.8,NA,NA,NA
FR67460754911,2018,CAC40,"Salaz, Leon Hunter",Chairman-CEO,4887922,NA,NA,NA,NA,NA
FR67460754911,2017,CAC40,"Salaz, Leon Hunter",Chairman-CEO,4228823,NA,NA,NA,NA,NA
FR67460754911,2016,CAC40,"Salaz, Leon Hunter",Chairman-CEO,3814311,NA,NA,NA,NA,NA
FR67460754911,2015,CAC40,"Salaz, Leon Hunter",Chairman-CEO,3420103,NA,NA,NA,NA,NA
FR68288492136,2021,CAC40,"Meersman, Jessica",CEO,6946207,110,156,NA,NA,117000
FR68288492136,2020,CAC40,"Meersman, Jessica",CEO,5278851,60,73,92861,NA,4000
FR68288492136,2019,CAC40,"Meersman, Jessica",CEO,6504493,64,78,90369,NA,4000
FR68288492136,2018,CAC40,"Meersman, Jessica",CEO,6259898,68,84,91127,NA,4000
FR68288492136,2017,CAC40,"Meersman, Jessica",CEO,6607047,65,81,88551,NA,4000
FR68288492136,2016,CAC40,"Meersman, Jessica",CEO,5625458,57,71,83829,NA,4000
FR68288492136,2015,CAC40,"Meersman, Jessica",CEO,6144662,73,92,82791,NA,4200
FR70045400606,2021,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3145346,21.2,42.23,NA,NA,NA
FR70045400606,2020,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3552518,53.35,71.01,NA,NA,11556
FR70045400606,2019,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3250172,52.6,69.06,NA,NA,11556
FR70045400606,2018,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3348372,52.76,69.01,NA,NA,11556
FR70045400606,2017,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,2843331,45.05,58.44,NA,NA,11556
FR70045400606,2016,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3743959,60.81,78.51,NA,NA,10725
FR70045400606,2015,CAC40,"al-Sala, Mayyaada",Chief Executive Officer and Chairman of the Management Board,3392966,17.16,36.82,197747,NA,NA
FR71625859809,2021,CAC40,"el-Moradi, Ameen",Chairman-CEO,4428822,47,80,NA,NA,NA
FR71625859809,2020,CAC40,"el-Moradi, Ameen",Chairman-CEO,3972572,42,76,NA,NA,NA
FR71625859809,2019,CAC40,"el-Moradi, Ameen",Chairman-CEO,7305055,42,72,NA,NA,NA
FR71625859809,2018,CAC40,"el-Moradi, Ameen",Chairman-CEO,7305055,45,74,NA,NA,NA
FR71625859809,2017,CAC40,"el-Moradi, Ameen",Chairman-CEO,5747662,47,79,NA,NA,NA
FR71625859809,2016,CAC40,"el-Moradi, Ameen",Chairman-CEO,6641976,46,78,NA,NA,NA
FR71625859809,2015,CAC40,"el-Moradi, Ameen",Chairman-CEO,7057643,54,79,NA,NA,NA
FR71894003387,2021,CAC40,"Barnes, Maori",CEO,8654780,77,110,100694,70729,9183
FR71894003387,2020,CAC40,"Allen, Bryce",Chairman-CEO,3059831,42,61,104896,72216,9183
FR71894003387,2019,CAC40,"Allen, Bryce",Chairman-CEO,9798831,96,141,100959,68709,9183
FR71894003387,2018,CAC40,"Allen, Bryce",Chairman-CEO,9531098,100,144,95207,66167,9183
FR71894003387,2017,CAC40,"Allen, Bryce",Chairman-CEO,9579532,103,149,92745,64148,9183
FR71894003387,2016,CAC40,"Allen, Bryce",Chairman-CEO,9130340,98,142,90618,63013,8880
FR71894003387,2015,CAC40,"Allen, Bryce",Chairman-CEO,9149680,101,146,89928,62430,7758
FR73256351242,2021,CAC40,"Bowens, Tania",CEO,5115631,2.36,2.16,NA,NA,5
FR73256351242,2020,CAC40,"Bowens, Tania",CEO,4038983,2.44,2.72,NA,NA,5
FR73256351242,2019,CAC40,"Bowens, Tania",CEO,5088102,2.26,1.95,NA,NA,5
FR73256351242,2018,CAC40,"Bowens, Tania",CEO,5042394,NA,NA,NA,NA,5
FR73256351242,2017,CAC40,"Bowens, Tania",CEO,5185306,NA,NA,NA,NA,5
FR73256351242,2016,CAC40,"Bowens, Tania",CEO,2175073,NA,NA,NA,NA,5
FR73256351242,2015,CAC40,"el-Mir, Hadeel",Chairman-CEO,5342016,NA,NA,NA,NA,NA
FR78799971532,2021,CAC40,"Lopez Del Villar, Isaac",CEO,3521110,NA,NA,77142,66967,NA
FR78799971532,2020,CAC40,"Lopez Del Villar, Isaac",CEO,1753363,NA,NA,76791,72571,NA
FR78799971532,2019,CAC40,"Lopez Del Villar, Isaac",CEO,3023687,55.7,NA,46476,NA,NA
FR78799971532,2018,CAC40,"Lopez Del Villar, Isaac",CEO,2847812,55.1,NA,46307,NA,NA
FR78799971532,2017,CAC40,"Lopez Del Villar, Isaac",CEO,2929974,50.9,NA,45551,NA,NA
